"TPLName","Familia","Form"
"Anaphalis latialata","Compositae","F"
"Anaphalis nepalensis","Compositae",NA
"Anarthrophyllum cumingii","Leguminosae",NA
"Anarthrophyllum gayanum","Leguminosae",NA
"Androsace chamaejasme","Primulaceae",NA
"Androsace gmelinii","Primulaceae","F"
"Androsace obtusifolia","Primulaceae",NA
"Androsace villosa","Primulaceae",NA
"Anemone alpina","Ranunculaceae",NA
"Anemone narcissiflora","Ranunculaceae",NA
"Anemone rivularis","Ranunculaceae","F"
"Anemone vernalis","Ranunculaceae",NA
"Anisodus tanguticus","Solanaceae","F"
"Antennaria dioica","Compositae",NA
"Anthoxanthum odoratum","Poaceae",NA
"Anthriscus sylvestris","Apiaceae","F"
"Anthyllis vulneraria","Leguminosae",NA
"Aquilegia atrata","Ranunculaceae",NA
"Arabis alpina","Brassicaceae",NA
"Arabis caerulea","Brassicaceae",NA
"Arenaria biflora","Caryophyllaceae",NA
"Arenaria edgeworthiana","Caryophyllaceae","F"
"Arenaria erinacea","Caryophyllaceae",NA
"Arenaria grandiflora","Caryophyllaceae",NA
"Arenaria kansuensis","Caryophyllaceae","F"
"Arenaria norvegica","Caryophyllaceae",NA
"Arenaria purpurascens","Caryophyllaceae",NA
"Aristida triseta","Poaceae","G"
"Armeria alpina","Plumbaginaceae",NA
"Armeria cantabrica","Plumbaginaceae",NA
"Arnica montana","Compositae",NA
"Artemisia desertorum","Compositae","F"
"Artemisia genipi","Compositae",NA
"Artemisia glacialis","Compositae",NA
"Artemisia gmelinii","Compositae","F"
"Artemisia hedinii","Compositae","F"
"Artemisia umbelliformis","Compositae",NA
"Aruncus dioicus","Rosaceae",NA
"Asperugo procumbens","Boraginaceae","F"
"Astelia alpina","Asteliaceae",NA
"Astelia psychrocharis","Asteliaceae",NA
"Aster alpinus","Compositae","F"
"Aster amellus","Compositae",NA
"Aster diplostephioides","Compositae","F"
"Aster souliei","Compositae",NA
"Aster yunnanensis","Compositae","F"
"Astragalus australis","Leguminosae",NA
"Astragalus cyri","Leguminosae",NA
"Astragalus floridus","Leguminosae","F"
"Astragalus mahoschanicus","Leguminosae","F"
"Astragalus penduliflorus","Leguminosae",NA
"Astragalus polycladus","Leguminosae","F"
"Astragalus przewalskii","Leguminosae","F"
"Astragalus tongolensis","Leguminosae","F"
"Aubrieta thessala","Brassicaceae",NA
"Avena fatua","Poaceae","G"
"Azorella madreporica","Apiaceae",NA
"Baeckea gunniana","Myrtaceae",NA
"Baeckea utilis","Myrtaceae",NA
"Bartsia alpina","Orobanchaceae",NA
"Batrachium bungei","Ranunculaceae","F"
"Berberis montana","Berberidaceae",NA
"Betula nana","Betulaceae",NA
"Biebersteinia orphanidis","Biebersteiniaceae",NA
"Biscutella laevigata","Brassicaceae",NA
"Blysmus sinocompressus","Cyperaceae","G"
"Brachyscome barkerae","Compositae",NA
"Brachyscome obovata","Compositae",NA
"Brachyscome rigidula","Compositae",NA
"Brachyscome spathulata","Compositae",NA
"Brachyscome stolonifera","Compositae",NA
"Braya rosea","Brassicaceae",NA
"Bromus sinensis","Poaceae","G"
"Bupleurum commelynoideum","Apiaceae","F"
"Bupleurum marschallianum","Apiaceae",NA
"Calamagrostis purpurea","Poaceae",NA
"Calandrinia caespitosa","Portulacaceae",NA
"Calceolaria filicaulis","Calceolariaceae",NA
"Calceolaria purpurea","Calceolariaceae",NA
"Callistemon pityoides","Myrtaceae",NA
"Callitriche palustris","Plantaginaceae",NA
"Campanula alliariifolia","Campanulaceae",NA
"Campanula alpina","Campanulaceae",NA
"Campanula aristata","Campanulaceae","F"
"Campanula barbata","Campanulaceae",NA
"Campanula cenisia","Campanulaceae",NA
"Campanula cochleariifolia","Campanulaceae",NA
"Campanula collina","Campanulaceae",NA
"Campanula jacquinii","Campanulaceae",NA
"Campanula latifolia","Campanulaceae",NA
"Campanula macrorhiza","Campanulaceae",NA
"Campanula olympica","Campanulaceae",NA
"Campanula sarmatica","Campanulaceae",NA
"Campanula scheuchzeri","Campanulaceae",NA
"Campanula serrata","Campanulaceae",NA
"Campanula thyrsoides","Campanulaceae",NA
"Caragana erinacea","Leguminosae","W"
"Caragana jubata","Leguminosae","W"
"Cardamine cordata","Brassicaceae",NA
"Cardamine robusta","Brassicaceae",NA
"Cardamine tangutorum","Brassicaceae",NA
"Carex aphylla","Cyperaceae",NA
"Carex asturica","Cyperaceae",NA
"Carex atrata","Cyperaceae",NA
"Carex banksii","Cyperaceae",NA
"Carex bicolor","Cyperaceae",NA
"Carex blakei","Cyperaceae",NA
"Carex buxbaumii","Cyperaceae",NA
"Carex capillacea","Cyperaceae",NA
"Carex capillaris","Cyperaceae",NA
"Carex cephalotes","Cyperaceae",NA
"Carex curvula","Cyperaceae",NA
"Carex echinata","Cyperaceae",NA
"Carex enervis","Cyperaceae","G"
"Carex firma","Cyperaceae",NA
"Carex foetida","Cyperaceae",NA
"Carex gaudichaudiana","Cyperaceae",NA
"Carex hebes","Cyperaceae",NA
"Carex hypandra","Cyperaceae",NA
"Carex kansuensis","Cyperaceae","G"
"Carex lachenalii","Cyperaceae",NA
"Carex microglochin","Cyperaceae",NA
"Carex przewalskii","Cyperaceae",NA
"Carex pulicaris","Cyperaceae",NA
"Carex rariflora","Cyperaceae",NA
"Carex rostrata","Cyperaceae",NA
"Carex saxatilis","Cyperaceae",NA
"Carex scabrirostris","Cyperaceae","G"
"Carex sempervirens","Cyperaceae",NA
"Carlina biebersteinii","Compositae",NA
"Carpha nivicola","Cyperaceae",NA
"Carum carvi","Apiaceae","F"
"Catolobus pendulus","Brassicaceae","F"
"Celmisia costiniana","Compositae",NA
"Celmisia pugioniformis","Compositae",NA
"Centaurea nervosa","Compositae",NA
"Centaurea reflexa","Compositae",NA
"Cerastium alpinum","Caryophyllaceae",NA
"Cerastium arcticum","Caryophyllaceae",NA
"Cerastium argenteum","Caryophyllaceae",NA
"Cerastium arvense","Caryophyllaceae","F"
"Cerastium cerastoides","Caryophyllaceae",NA
"Cerastium latifolium","Caryophyllaceae",NA
"Cerastium pedunculatum","Caryophyllaceae",NA
"Cerastium uniflorum","Caryophyllaceae",NA
"Chaerophyllum australianum","Apiaceae",NA
"Chaerophyllum eriopodum","Apiaceae",NA
"Chaetanthera euphrasioides","Compositae",NA
"Chaetanthera microphylla","Compositae",NA
"Chamaesium paradoxum","Apiaceae",NA
"Chrysosplenium uniflorum","Saxifragaceae","F"
"Circaeaster agrestis","Circaeasteraceae","F"
"Cirsium arvense","Compositae","F"
"Cirsium lanatum","Compositae",NA
"Cirsium souliei","Compositae",NA
"Cirsium spinosissimum","Compositae",NA
"Clematis tangutica","Ranunculaceae","W"
"Clematis tangutica","Ranunculaceae","F"
"Cochlearia tatrae","Brassicaceae",NA
"Codonopsis foetens","Campanulaceae",NA
"Colobanthus affinis","Caryophyllaceae",NA
"Coluria longifolia","Rosaceae","F"
"Comarum palustre","Rosaceae",NA
"Comastoma falcatum","Gentianaceae","F"
"Comastoma pedunculatum","Gentianaceae","F"
"Comastoma pulmonarium","Gentianaceae","F"
"Comastoma tenellum","Gentianaceae",NA
"Convolvulus arvensis","Convolvulaceae",NA
"Cortaderia pilosa","Poaceae",NA
"Corydalis melanochlora","Papaveraceae","F"
"Craspedia alba","Compositae",NA
"Craspedia costiniana","Compositae",NA
"Craspedia jamesii","Compositae",NA
"Craspedia lamicola","Compositae",NA
"Craspedia leucantha","Compositae",NA
"Cremanthodium brunneopilosum","Compositae","F"
"Cremanthodium discoideum","Compositae","F"
"Cremanthodium lineare","Compositae","F"
"Crepis sibirica","Compositae",NA
"Cyananthus hookeri","Campanulaceae","F"
"Delphinium albocoeruleum","Ranunculaceae","F"
"Delphinium cyphoplectrum","Ranunculaceae",NA
"Delphinium elatum","Ranunculaceae",NA
"Delphinium pylzowii","Ranunculaceae","F"
"Delphinium souliei","Ranunculaceae",NA
"Deschampsia cespitosa","Poaceae","G"
"Deyeuxia flavens","Poaceae","G"
"Dianthus barbatus","Caryophyllaceae",NA
"Dianthus furcatus","Caryophyllaceae",NA
"Dianthus glacialis","Caryophyllaceae",NA
"Dianthus orientalis","Caryophyllaceae",NA
"Dianthus plumarius","Caryophyllaceae",NA
"Dichosciadium ranunculaceum","Apiaceae",NA
"Dicranostigma lactucoides","Papaveraceae","F"
"Diplaspis nivis","Apiaceae",NA
"Doronicum austriacum","Compositae",NA
"Draba eriopoda","Brassicaceae","F"
"Draba gilliesii","Brassicaceae",NA
"Draba hoppeana","Brassicaceae",NA
"Draba ladyginii","Brassicaceae","F"
"Draba lanceolata","Brassicaceae",NA
"Draba nemorosa","Brassicaceae","F"
"Draba norvegica","Brassicaceae",NA
"Draba oreades","Brassicaceae",NA
"Draba stylaris","Brassicaceae",NA
"Dracocephalum heterophyllum","Lamiaceae","F"
"Dracocephalum tanguticum","Lamiaceae","F"
"Drosera arcturi","Droseraceae",NA
"Dryas octopetala","Rosaceae",NA
"Duthiea brachypodium","Poaceae",NA
"Eleocharis quinqueflora","Cyperaceae",NA
"Elymus angulatus","Poaceae",NA
"Elymus caninus","Poaceae",NA
"Elymus sibiricus","Poaceae","G"
"Epacris celata","Ericaceae",NA
"Epacris glacialis","Ericaceae",NA
"Epacris microphylla","Ericaceae",NA
"Epacris paludosa","Ericaceae",NA
"Epacris petrophila","Ericaceae",NA
"Epilobium alsinifolium","Onagraceae",NA
"Epilobium angustifolium","Onagraceae","F"
"Epilobium gunnianum","Onagraceae",NA
"Epilobium palustre","Onagraceae","F"
"Eremogone lychnidea","Caryophyllaceae",NA
"Erigeron bellidioides","Compositae",NA
"Erigeron cinereus","Compositae",NA
"Erigeron paludicola","Compositae",NA
"Erigeron pulchellus","Compositae",NA
"Erigeron setosus","Compositae",NA
"Eriophorum angustifolium","Cyperaceae",NA
"Eriophorum latifolium","Cyperaceae",NA
"Eriophorum scheuchzeri","Cyperaceae",NA
"Erysimum hungaricum","Brassicaceae",NA
"Escallonia alpina","Escalloniaceae",NA
"Euphorbia tibetica","Euphorbiaceae","F"
"Euphrasia collina","Orobanchaceae",NA
"Festuca alpina","Poaceae",NA
"Festuca altissima","Poaceae",NA
"Festuca eskia","Poaceae",NA
"Festuca halleri","Poaceae",NA
"Festuca nitidula","Poaceae","G"
"Festuca norica","Poaceae",NA
"Festuca ovina","Poaceae","G"
"Festuca paniculata","Poaceae",NA
"Festuca quadriflora","Poaceae",NA
"Festuca rubra","Poaceae","G"
"Festuca scabriculmis","Poaceae",NA
"Festuca sinensis","Poaceae","G"
"Festuca varia","Poaceae",NA
"Festuca violacea","Poaceae",NA
"Fritillaria legionensis","Liliaceae",NA
"Fritillaria unibracteata","Liliaceae","F"
"Galium boreale","Rubiaceae",NA
"Galium montis-arerae","Rubiaceae",NA
"Galium rubioides","Rubiaceae",NA
"Gaultheria poeppigii","Ericaceae",NA
"Gaultheria pumila","Ericaceae",NA
"Gentiana acaulis","Gentianaceae",NA
"Gentiana aquatica","Gentianaceae","F"
"Gentiana aristata","Gentianaceae","F"
"Gentiana brachyphylla","Gentianaceae",NA
"Gentiana burseri","Gentianaceae",NA
"Gentiana choanantha","Gentianaceae","F"
"Gentiana clusii","Gentianaceae",NA
"Gentiana crassuloides","Gentianaceae","F"
"Gentiana dahurica","Gentianaceae","F"
"Gentiana depressa","Gentianaceae",NA
"Gentiana grandiflora","Gentianaceae",NA
"Gentiana haynaldii","Gentianaceae",NA
"Gentiana leucomelaena","Gentianaceae","F"
"Gentiana nivalis","Gentianaceae",NA
"Gentiana nubigena","Gentianaceae",NA
"Gentiana prostrata","Gentianaceae",NA
"Gentiana punctata","Gentianaceae",NA
"Gentiana septemfida","Gentianaceae",NA
"Gentiana sino-ornata","Gentianaceae","F"
"Gentiana siphonantha","Gentianaceae",NA
"Gentiana straminea","Gentianaceae","F"
"Gentiana szechenyii","Gentianaceae","F"
"Gentiana verna","Gentianaceae",NA
"Gentiana waltonii","Gentianaceae",NA
"Gentianella amarella","Gentianaceae",NA
"Gentianella anisodonta","Gentianaceae",NA
"Gentianella muelleriana","Gentianaceae",NA
"Gentianopsis barbata","Gentianaceae","F"
"Gentianopsis paludosa","Gentianaceae","F"
"Geranium pylzowianum","Geraniaceae",NA
"Geum montanum","Rosaceae",NA
"Geum pyrenaicum","Rosaceae",NA
"Geum rivale","Rosaceae",NA
"Gingidia algens","Apiaceae",NA
"Glyceria notata","Poaceae",NA
"Gnaphalium supinum","Compositae",NA
"Gypsophila elegans","Caryophyllaceae",NA
"Hedysarum caucasicum","Leguminosae",NA
"Hedysarum sikkimense","Leguminosae","F"
"Helictochloa versicolor","Poaceae",NA
"Helictotrichon marginatum","Poaceae",NA
"Helictotrichon tibeticum","Poaceae","G"
"Helictotrichon versicolor","Poaceae",NA
"Heliotropium ellipticum","Boraginaceae",NA
"Heracleum millefolium","Apiaceae","F"
"Heracleum yungningense","Apiaceae","F"
"Herminium monorchis","Orchidaceae",NA
"Heteropappus gouldii","Compositae","F"
"Hieracium attenuatifolium","Compositae",NA
"Hieracium backhousei","Compositae",NA
"Hieracium calenduliflorum","Compositae",NA
"Hieracium calvum","Compositae",NA
"Hieracium completum","Compositae",NA
"Hieracium eximium","Compositae",NA
"Hieracium globosiflorum","Compositae",NA
"Hieracium graniticola","Compositae",NA
"Hieracium hanburyi","Compositae",NA
"Hieracium larigense","Compositae",NA
"Hieracium leptodon","Compositae",NA
"Hieracium macrocarpum","Compositae",NA
"Hieracium milesii","Compositae",NA
"Hieracium pensum","Compositae",NA
"Hieracium perscitum","Compositae",NA
"Hieracium snowdoniense","Compositae",NA
"Hieracium stewartii","Compositae",NA
"Hieracium zygophorum","Compositae",NA
"Hippuris vulgaris","Plantaginaceae","F"
"Holosteum marginatum","Caryophyllaceae",NA
"Homogyne alpina","Compositae",NA
"Hypochaeris tenuifolia","Compositae",NA
"Hyssopus officinalis","Lamiaceae",NA
"Isolepis crassiuscula","Cyperaceae",NA
"Isolepis setacea","Cyperaceae","G"
"Jacobaea incana","Compositae",NA
"Jacobaea uniflora","Compositae",NA
"Jasione cavanillesii","Campanulaceae",NA
"Juncus allioides","Juncaceae","G"
"Juncus amplifolius","Juncaceae",NA
"Juncus balticus","Juncaceae",NA
"Juncus biglumis","Juncaceae",NA
"Juncus castaneus","Juncaceae",NA
"Juncus falcatus","Juncaceae",NA
"Juncus filiformis","Juncaceae",NA
"Juncus himalensis","Juncaceae","G"
"Juncus monanthos","Juncaceae",NA
"Juncus sphacelatus","Juncaceae","G"
"Juncus thomsonii","Juncaceae","G"
"Juncus trifidus","Juncaceae",NA
"Juncus triglumis","Juncaceae",NA
"Jurinea blanda","Compositae",NA
"Jurinea humilis","Compositae",NA
"Kelleria dieffenbachii","Thymelaeaceae",NA
"Kobresia capillifolia","Cyperaceae","G"
"Kobresia humilis","Cyperaceae","G"
"Kobresia kansuensis","Cyperaceae","G"
"Kobresia macrantha","Cyperaceae","G"
"Kobresia myosuroides","Cyperaceae","G"
"Kobresia pygmaea","Cyperaceae","G"
"Kobresia setschwanensis","Cyperaceae",NA
"Kobresia simpliciuscula","Cyperaceae",NA
"Kobresia tibetica","Cyperaceae","G"
"Koeleria litvinowii","Poaceae","G"
"Kunzea muelleri","Myrtaceae",NA
"Lagotis brachystachya","Plantaginaceae","F"
"Lancea tibetica","Phrymaceae","F"
"Laretia acaulis","Apiaceae",NA
"Laserpitium hispidum","Apiaceae",NA
"Leibnitzia nepalensis","Compositae","F"
"Leontodon hispidus","Compositae",NA
"Leontopodium nanum","Compositae",NA
"Leontopodium nivale","Compositae",NA
"Leontopodium ochroleucum","Compositae",NA
"Leontopodium souliei","Compositae","F"
"Lepidium apetalum","Brassicaceae","F"
"Lepidium capitatum","Brassicaceae","F"
"Lepidium latifolium","Brassicaceae","F"
"Leucanthemopsis alpina","Compositae",NA
"Leucochrysum alpinum","Compositae",NA
"Ligularia macrodonta","Compositae","F"
"Ligularia virgaurea","Compositae","F"
"Ligusticum scoticum","Apiaceae",NA
"Lilium martagon","Liliaceae",NA
"Linaria alpina","Plantaginaceae",NA
"Linaria tonzigii","Plantaginaceae",NA
"Linnaea borealis","Caprifoliaceae",NA
"Lloydia oxycarpa","Liliaceae","F"
"Loasa caespitosa","Loasaceae",NA
"Loiseleuria procumbens","Ericaceae",NA
"Lomatogonium carinthiacum","Gentianaceae","F"
"Lomatogonium gamosepalum","Gentianaceae",NA
"Lomatogonium macranthum","Gentianaceae","F"
"Lonicera pyrenaica","Caprifoliaceae",NA
"Luzula acutifolia","Juncaceae",NA
"Luzula alpinopilosa","Juncaceae",NA
"Luzula brachyphylla","Juncaceae",NA
"Luzula lutea","Juncaceae",NA
"Luzula modesta","Juncaceae",NA
"Luzula nivea","Juncaceae",NA
"Luzula spicata","Juncaceae",NA
"Madia sativa","Compositae",NA
"Matricaria breviradiata","Compositae",NA
"Meconopsis horridula","Papaveraceae","F"
"Meconopsis integrifolia","Papaveraceae","F"
"Meconopsis punicea","Papaveraceae","F"
"Meconopsis quintuplinervia","Papaveraceae","F"
"Megacarpaea delavayi","Brassicaceae","F"
"Microgynoecium tibeticum","Amaranthaceae",NA
"Microseris lanceolata","Compositae",NA
"Microsteris gracilis","Polemoniaceae",NA
"Microula sikkimensis","Boraginaceae",NA
"Microula tangutica","Boraginaceae",NA
"Minuartia inamoena","Caryophyllaceae",NA
"Minuartia laricifolia","Caryophyllaceae",NA
"Minuartia montana","Caryophyllaceae",NA
"Minuartia rubella","Caryophyllaceae",NA
"Minuartia sedoides","Caryophyllaceae",NA
"Minuartia stricta","Caryophyllaceae",NA
"Minuartia verna","Caryophyllaceae",NA
"Mniarum biflorum","Caryophyllaceae",NA
"Montiopsis gayana","Montiaceae",NA
"Mutisia sinuata","Compositae",NA
"Myosotis alpestris","Boraginaceae",NA
"Myosotis alpina","Boraginaceae",NA
"Nardostachys jatamansi","Caprifoliaceae","F"
"Nardus stricta","Poaceae",NA
"Nassauvia lagascae","Compositae",NA
"Nassauvia pinnigera","Compositae",NA
"Nassauvia revoluta","Compositae",NA
"Nastanthus scapigerus","Calyceraceae",NA
"Neopaxia australasica","Portulacaceae",NA
"Nepeta coerulescens","Lamiaceae","F"
"Nepeta prattii","Lamiaceae","F"
"Nicotiana corymbosa","Solanaceae",NA
"Nothoscordum andinum","Amaryllidaceae",NA
"Notopterygium franchetii","Apiaceae","F"
"Notopterygium incisum","Apiaceae","F"
"Oberna lacera","Caryophyllaceae",NA
"Olearia algida","Compositae",NA
"Olearia phlogopappa","Compositae",NA
"Olsynium junceum","Iridaceae",NA
"Olsynium philippii","Iridaceae",NA
"Onobrychis montana","Leguminosae",NA
"Oreobolus distichus","Cyperaceae",NA
"Oxylobium ellipticum","Leguminosae",NA
"Oxyria digyna","Polygonaceae",NA
"Oxytropis campestris","Leguminosae",NA
"Oxytropis falcata","Leguminosae","F"
"Oxytropis lapponica","Leguminosae",NA
"Oxytropis ochrocephala","Leguminosae","F"
"Ozothamnus alpinus","Compositae",NA
"Ozothamnus cupressoides","Compositae",NA
"Ozothamnus hookeri","Compositae",NA
"Papaver alpinum","Papaveraceae",NA
"Papaver cambricum","Papaveraceae",NA
"Paraquilegia microphylla","Ranunculaceae","F"
"Parnassia brevistyla","Celastraceae","F"
"Parnassia trinervis","Celastraceae","F"
"Pedicularis alaschanica","Orobanchaceae","F"
"Pedicularis cheilanthifolia","Orobanchaceae","F"
"Pedicularis kansuensis","Orobanchaceae","F"
"Pedicularis lachnoglossa","Orobanchaceae","F"
"Pedicularis lasiophrys","Orobanchaceae","F"
"Pedicularis longiflora","Orobanchaceae","F"
"Pedicularis pseudoingens","Orobanchaceae","F"
"Pedicularis rhinanthoides","Orobanchaceae","F"
"Pedicularis szetschuanica","Orobanchaceae",NA
"Pedicularis ternata","Orobanchaceae","F"
"Pedicularis tuberosa","Orobanchaceae",NA
"Pelargonium helmsii","Geraniaceae",NA
"Pennisetum centrasiaticum","Poaceae","G"
"Pentachondra pumila","Ericaceae",NA
"Perezia pedicularidifolia","Compositae",NA
"Persicaria vivipara","Polygonaceae","F"
"Phleum alpinum","Poaceae",NA
"Phleum subulatum","Poaceae",NA
"Phlomoides rotata","Lamiaceae","F"
"Physospermum cornubiense","Apiaceae",NA
"Phyteuma hedraianthifolium","Campanulaceae",NA
"Phyteuma hemisphaericum","Campanulaceae",NA
"Phyteuma sieberi","Campanulaceae",NA
"Pilosella officinarum","Compositae",NA
"Pilosella peleteriana","Compositae",NA
"Pimelea axiflora","Thymelaeaceae",NA
"Pimelea ligustrina","Thymelaeaceae",NA
"Pinguicula leptoceras","Lentibulariaceae",NA
"Piptatherum munroi","Poaceae","G"
"Plantago alpina","Plantaginaceae",NA
"Plantago atrata","Plantaginaceae",NA
"Plantago depressa","Plantaginaceae","F"
"Plantago glacialis","Compositae",NA
"Plantago muelleri","Plantaginaceae",NA
"Plantago nivalis","Plantaginaceae",NA
"Pleurospermum hookeri","Apiaceae",NA
"Pleurospermum wilsonii","Apiaceae","F"
"Pleurospermum wrightianum","Apiaceae","F"
"Poa alpina","Poaceae",NA
"Poa annua","Poaceae","G"
"Poa attenuata","Poaceae","G"
"Poa costiniana","Poaceae",NA
"Poa glauca","Poaceae",NA
"Poa hiemata","Poaceae",NA
"Poa phillipsiana","Poaceae",NA
"Poa pratensis","Poaceae","G"
"Poa remota","Poaceae",NA
"Poa sikkimensis","Poaceae","G"
"Poa szechuensis","Poaceae","G"
"Podolepis robusta","Compositae",NA
"Podospermum canum","Compositae",NA
"Polygala alpina","Polygalaceae",NA
"Polygonum fertile","Polygonaceae","F"
"Polygonum macrophyllum","Polygonaceae","F"
"Polygonum sibiricum","Polygonaceae","F"
"Polygonum sparsipilosum","Polygonaceae","F"
"Pomatosace filicula","Primulaceae","F"
"Potamogeton alpinus","Potamogetonaceae",NA
"Potentilla aurea","Rosaceae",NA
"Potentilla crantzii","Rosaceae",NA
"Potentilla grandiflora","Rosaceae",NA
"Potentilla multifida","Rosaceae","F"
"Potentilla pamiroalaica","Rosaceae",NA
"Potentilla potaninii","Rosaceae","F"
"Potentilla saundersiana","Rosaceae",NA
"Primula agleniana","Primulaceae","F"
"Primula algida","Primulaceae",NA
"Primula auricula","Primulaceae",NA
"Primula auriculata","Primulaceae",NA
"Primula daonensis","Primulaceae",NA
"Primula farinosa","Primulaceae",NA
"Primula gemmifera","Primulaceae","F"
"Primula glaucescens","Primulaceae",NA
"Primula integrifolia","Primulaceae",NA
"Primula minima","Primulaceae",NA
"Primula orbicularis","Primulaceae","F"
"Primula secundiflora","Primulaceae","F"
"Primula stenocalyx","Primulaceae","F"
"Primula tangutica","Primulaceae","F"
"Prostanthera cuneata","Lamiaceae",NA
"Psychrophila introloba","Ranunculaceae",NA
"Pterocephalus hookeri","Caprifoliaceae",NA
"Ptilagrostis dichotoma","Poaceae","G"
"Pulsatilla violacea","Ranunculaceae",NA
"Pyrethrum tatsienense","Compositae","F"
"Ranunculus acrophilus","Ranunculaceae",NA
"Ranunculus anemoneus","Ranunculaceae",NA
"Ranunculus brotherusii","Ranunculaceae","F"
"Ranunculus clivicola","Ranunculaceae",NA
"Ranunculus dissectifolius","Ranunculaceae",NA
"Ranunculus graniticola","Ranunculaceae",NA
"Ranunculus gunnianus","Ranunculaceae",NA
"Ranunculus kamchaticus","Ranunculaceae","F"
"Ranunculus lappaceus","Ranunculaceae",NA
"Ranunculus montanus","Ranunculaceae",NA
"Ranunculus muelleri","Ranunculaceae",NA
"Ranunculus niphophilus","Ranunculaceae",NA
"Ranunculus pimpinellifolius","Ranunculaceae",NA
"Reynoutria multiflora","Polygonaceae",NA
"Rheum palmatum","Polygonaceae",NA
"Rhinanthus alectorolophus","Orobanchaceae",NA
"Rhinanthus glacialis","Orobanchaceae",NA
"Rhinanthus serotinus","Orobanchaceae",NA
"Rhodiola kirilowii","Crassulaceae","F"
"Rhodiola macrocarpa","Crassulaceae","F"
"Rhodiola tangutica","Crassulaceae",NA
"Rhododendron ferrugineum","Ericaceae",NA
"Rhodophiala andicola","Amaryllidaceae",NA
"Ribes petraeum","Grossulariaceae",NA
"Richea continentis","Ericaceae",NA
"Roegneria breviglumis","Poaceae","G"
"Rorippa elata","Brassicaceae",NA
"Rumex alpestris","Polygonaceae",NA
"Rumex nepalensis","Polygonaceae","F"
"Rumex suffruticosus","Polygonaceae",NA
"Rytidosperma alpicola","Poaceae",NA
"Rytidosperma nudiflorum","Poaceae",NA
"Rytidosperma pictum","Poaceae",NA
"Rytidosperma pumilum","Poaceae",NA
"Sagina nivalis","Caryophyllaceae",NA
"Sagina saginoides","Caryophyllaceae",NA
"Salix myrsinifolia","Salicaceae",NA
"Sanguisorba filiformis","Rosaceae","F"
"Sanicula graveolens","Apiaceae",NA
"Saponaria lutea","Caryophyllaceae",NA
"Saussurea globosa","Compositae","F"
"Saussurea graminea","Compositae","F"
"Saussurea hieracioides","Compositae","F"
"Saussurea kansuensis","Compositae",NA
"Saussurea pachyneura","Compositae","F"
"Saussurea przewalskii","Compositae",NA
"Saussurea stella","Compositae","F"
"Saussurea sylvatica","Compositae","F"
"Saxifraga aizoides","Saxifragaceae",NA
"Saxifraga bryoides","Saxifragaceae",NA
"Saxifraga caesia","Saxifragaceae",NA
"Saxifraga cespitosa","Saxifragaceae",NA
"Saxifraga egregia","Saxifragaceae","F"
"Saxifraga exarata","Saxifragaceae",NA
"Saxifraga heleonastes","Saxifragaceae",NA
"Saxifraga hirculus","Saxifragaceae",NA
"Saxifraga hostii","Saxifragaceae",NA
"Saxifraga melanocentra","Saxifragaceae",NA
"Saxifraga montana","Saxifragaceae","F"
"Saxifraga nivalis","Saxifragaceae",NA
"Saxifraga oppositifolia","Saxifragaceae",NA
"Saxifraga paniculata","Saxifragaceae",NA
"Saxifraga rivularis","Saxifragaceae",NA
